id,transaction_id,category_id,amount,percentage,belief_tag,chart_of_account_id,inserted_at,description,user_id
0ed50852-0a99-43b7-9cf4-adf3d6192fc6,d40076a8-ed85-47fe-9490-144768292760,,3.12,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:38.128731+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
0f1c25ee-8114-447c-ae26-4a855726454d,08105421-0d16-4ae6-8f5d-2865c57b3adc,,13.56,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:55.848446+00,,d293575a-98b3-4287-b308-01a4f6299080
0fb1e6af-20cf-4c43-a48e-661f6f4534f0,241b15bf-df2c-46ec-9651-f555cb8a95e2,,6.10,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:51:53.120391+00,,d293575a-98b3-4287-b308-01a4f6299080
0fbfa964-bce3-4aae-bede-24353e883c54,c6b01319-15ca-40da-92d8-86477cf964d4,,8.81,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:35.598307+00,,d293575a-98b3-4287-b308-01a4f6299080
119c6a91-8863-490c-a511-85338ba86242,c1f51674-e062-46a0-9727-6ba0f775a744,,1.83,50.00,,cd2129d9-2a16-452e-b3f5-e295c1a4c601,2025-12-03 20:52:35.734127+00,,d293575a-98b3-4287-b308-01a4f6299080
11fbf5fd-2728-44de-8e5e-b7af6d2b5106,15b200ee-8c99-4f48-a15d-a3d046e73f87,,230.48,50.00,,cd2129d9-2a16-452e-b3f5-e295c1a4c601,2025-12-03 20:52:19.227604+00,,d293575a-98b3-4287-b308-01a4f6299080
12203e81-6b24-4eff-b59e-c86e39395893,1dfaae36-6f96-4ef2-9453-433346bb8a59,,27.31,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:09.447192+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
12711892-5960-4217-97fa-a6c352a1899b,0de127ad-b8c0-4af9-8d6a-bca3af0b7044,,24.29,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:25.881117+00,,d293575a-98b3-4287-b308-01a4f6299080
12834a7d-a459-408e-9df3-aa71cd061137,53daa494-d56d-4436-905f-d96fc81f1e6c,,0.99,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:25.553232+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
14454414-0a55-44b3-a31a-fa09d6eda5e4,77966ea7-7d07-43e5-81b6-75b058cb3cd3,,22.26,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:47.747199+00,,d293575a-98b3-4287-b308-01a4f6299080
154f6f2c-885c-458f-8718-a36f38f78ea1,5bd13aaa-f456-4c25-802e-435b054ac436,,14.69,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:52:18.721493+00,,d293575a-98b3-4287-b308-01a4f6299080
16942380-0765-449f-9edc-8ca73bc10964,8118f3c5-1bb4-49cf-b3e2-d32d98c5c40f,,5.91,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:31.881179+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
174aea11-5bad-4e06-b716-f26c6620c24e,2f2356a7-a75a-4bf3-b9ee-c2b0712635ea,,27.11,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:55.126139+00,,d293575a-98b3-4287-b308-01a4f6299080
182d6cb8-c70c-4db9-a3a5-1b55445a1cad,66241476-fb8a-4a67-9cea-e31cffae74d4,,37.28,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:23.25609+00,,d293575a-98b3-4287-b308-01a4f6299080
18740897-b94d-4b50-a51d-dd963e51b75f,b89ce5ca-c0af-452b-a745-188bbcc98877,,3.54,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:57.303983+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
18ed1417-eee7-4358-be3a-4b175354e52e,2073a85a-a675-45ea-a9e3-54994fb9954c,,29.82,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:40.428186+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
19508328-562a-428e-bd0f-2e463bfd21df,5bd13aaa-f456-4c25-802e-435b054ac436,,44.07,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:18.314807+00,,d293575a-98b3-4287-b308-01a4f6299080
1a8f742c-6a54-400e-a842-f89e2baea6e8,7760a619-8bef-4df4-8e15-6a4cd0244617,,107.99,50.00,,cd2129d9-2a16-452e-b3f5-e295c1a4c601,2025-12-03 20:51:31.470891+00,,d293575a-98b3-4287-b308-01a4f6299080
1acc10cf-c56a-4a0f-92bb-287618664c30,cccdc5b7-9ea9-46f3-be20-dcf1a6dfe237,,3.79,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:38.612301+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
1afbe560-d53b-4659-98ad-3ed4ef455a93,1efb40dd-7c82-47c5-99df-663eb7012687,,15.95,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:12.747921+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
1b66adb8-baf0-4c9d-88bd-b3153af63cb2,fa65f072-c77d-4caa-97a7-0e952c276041,,33.86,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:51.725009+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
1bd2be50-d7dc-4823-9022-86b587b06aa4,31ca43e7-1bdf-4ccf-9b08-138bcc0968fa,,3.55,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:42.490171+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
1bff3dff-8775-4c18-85be-cca0a87d0115,f4a3b9b9-5f5e-4a91-845d-ed1cfc880d55,,22.90,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:52:29.125616+00,,d293575a-98b3-4287-b308-01a4f6299080
1ca02b10-d571-4f23-aca7-717bc9e710f3,15b200ee-8c99-4f48-a15d-a3d046e73f87,,46.10,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:52:19.358526+00,,d293575a-98b3-4287-b308-01a4f6299080
1d568472-202b-4395-88fc-f638fd0bd81e,cb062f92-8048-4b53-a756-1af54e16ba35,,50.52,50.00,,cd2129d9-2a16-452e-b3f5-e295c1a4c601,2025-12-03 20:52:08.1135+00,,d293575a-98b3-4287-b308-01a4f6299080
1ef73594-daa1-465e-b97a-5de4ef958c7b,fb636b3b-6047-45fd-ad60-3da9a8963597,,11.14,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:52:02.415296+00,,d293575a-98b3-4287-b308-01a4f6299080
224c1818-86b3-4a7b-9ffe-912212342d2f,32314e71-2564-41cf-a9dd-36c1621169a7,,15.15,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:38.913091+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
226a23e7-96ea-4133-b2fb-7668eb2e39c4,5ee50922-dc57-48e5-a9eb-025ab7819398,,109.20,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:57.960759+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
226e6ae1-3629-4ddb-b5d8-9cbf815d59d2,e48547a4-216c-4ddb-8bef-27edb0ca3299,,3.39,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:52:20.250473+00,,d293575a-98b3-4287-b308-01a4f6299080
235bc369-2762-41e3-8783-73b5492a2681,2f2356a7-a75a-4bf3-b9ee-c2b0712635ea,,9.04,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:55.560648+00,,d293575a-98b3-4287-b308-01a4f6299080
237693c5-7eab-47f6-a52e-9f709bb76246,7af2d100-111f-4c25-b707-79ff45469947,,21.90,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:29.444963+00,,d293575a-98b3-4287-b308-01a4f6299080
23a5384e-74e5-4e5c-950a-62d54a3f4f01,223cb50a-c53c-4b53-9ad3-532ae2592e14,,10.99,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:52:42.236763+00,,d293575a-98b3-4287-b308-01a4f6299080
257865e5-822a-4200-9dca-de5ea99efac1,d2ed9787-887b-4c5b-bbb5-609d05c24870,,27.12,100.00,,306a669c-6bd9-4b68-b7a1-7598dc3e5785,2025-12-04 14:26:08.095528+00,,d293575a-98b3-4287-b308-01a4f6299080
25bb2e0c-3c79-4d2d-9c73-69cc86d91d0f,8505196f-0e26-444c-863c-20fb26114fc5,,93.43,100.00,,306a669c-6bd9-4b68-b7a1-7598dc3e5785,2025-12-03 20:52:22.922306+00,household items,d293575a-98b3-4287-b308-01a4f6299080
269c39d3-1319-44e2-a4fc-48a98706ce28,4764b166-7ae9-4719-a41f-585ffc97db64,,36.28,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:52:24.464368+00,,d293575a-98b3-4287-b308-01a4f6299080
27e159a1-274d-4ea4-974d-ec2e3ba0c50e,1d85fb9d-54c1-4a18-8f83-c666452b245c,,65.40,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:49.619339+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
281e8915-7aa2-404b-bddb-805fb22a641b,77966ea7-7d07-43e5-81b6-75b058cb3cd3,,111.28,50.00,,cd2129d9-2a16-452e-b3f5-e295c1a4c601,2025-12-03 20:51:47.443728+00,,d293575a-98b3-4287-b308-01a4f6299080
287cdab5-00eb-4380-bba9-bf2e5a484b0c,54e90671-7059-4d46-b17d-2c2700b63dda,,4.52,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:52:30.473556+00,,d293575a-98b3-4287-b308-01a4f6299080
2a492d24-8bac-465c-930c-cf10fae5b571,2c2673b3-bbdf-4c77-9fe6-46448866d2c1,,21.12,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:21.643066+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
2a716974-b5d5-4e29-9244-3112429bbb1a,dda6d19c-f83f-477a-8784-7c25231c7d32,,152.55,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:48.082305+00,,d293575a-98b3-4287-b308-01a4f6299080
2cf7c02f-f658-48a3-82ad-ba3d2766fc05,dd16391f-a9c7-4f9e-a6db-53270eee5552,,11.31,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:43.307017+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
2d2af11f-54bf-423d-8a86-be30980a7cea,93c1da89-177a-47f5-aae9-1479ec4b694e,,5.85,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:58.662588+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
2f302544-7f41-4f83-8d1f-99c35f3f7195,f6327c86-be24-433e-ab91-6799934cd970,,82.62,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:43.781+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
2f74c215-fb97-4d52-8840-7b37f68a0388,141674c2-69d5-427d-ae94-4b64dd278e00,,12.34,50.00,,cd2129d9-2a16-452e-b3f5-e295c1a4c601,2025-12-03 20:51:52.278225+00,,d293575a-98b3-4287-b308-01a4f6299080
2f80b77f-f8c9-45da-9b47-704a29bf24e5,23369795-0ffd-48aa-860a-65330ff46747,,3.12,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:32:24.295085+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
2fc32ad4-8835-4ccc-acf4-a6cd97ba2cf1,16f75396-4cab-4fb4-ae53-c6404cda0e3c,,36.73,100.00,,306a669c-6bd9-4b68-b7a1-7598dc3e5785,2025-12-04 14:26:18.844597+00,,d293575a-98b3-4287-b308-01a4f6299080
3096f4ec-37c5-46db-a042-2af82898f300,47c25646-01d3-4297-a12e-d8a652efc8f5,,13.65,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:44.680918+00,,d293575a-98b3-4287-b308-01a4f6299080
31192311-6842-4317-a478-3382b095fd37,0de127ad-b8c0-4af9-8d6a-bca3af0b7044,,8.10,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:52:26.203393+00,,d293575a-98b3-4287-b308-01a4f6299080
3289ac97-a5a1-41ee-a0d2-429175d52995,00bdc499-82ae-4644-96e0-da8aa53445d5,,4.08,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:05.005024+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
3297350d-791b-434f-bd46-b062326ca356,ff6eec9b-e4ec-4b78-abaa-9acc0d4695bd,,2.03,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:40.225057+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
33576b56-8fcd-4f12-91f0-66959f004e02,77966ea7-7d07-43e5-81b6-75b058cb3cd3,,66.77,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:47.315705+00,,d293575a-98b3-4287-b308-01a4f6299080
34af4b3d-8b81-434e-8ac9-1de2b4c911fa,5f5758f7-4c61-4f03-b098-52b89f47a83b,,3.23,100.00,,306a669c-6bd9-4b68-b7a1-7598dc3e5785,2025-12-03 20:52:33.472832+00,household items,d293575a-98b3-4287-b308-01a4f6299080
34c3152d-f5f5-491b-a670-1ac8dd345823,f4a3b9b9-5f5e-4a91-845d-ed1cfc880d55,,22.90,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:52:28.987468+00,,d293575a-98b3-4287-b308-01a4f6299080
35af5a42-9cc3-4728-9cf1-66d4d95aaf2c,cf9af6c6-b3c7-47dc-a403-7ca8d2dd33b5,,39.41,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:51.280418+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
360b8ae8-c945-4253-af5f-57a13ecbaa36,fa65f072-c77d-4caa-97a7-0e952c276041,,8.47,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:51.861914+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
3648976b-a2b8-44c4-9c16-e92fca8da2b0,6ea2b0b1-3e74-4e04-b5db-0fb977eb926c,,14.57,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:53.565924+00,,d293575a-98b3-4287-b308-01a4f6299080
36d812c1-8edd-4c24-ba1d-aa2528b21ca1,e48547a4-216c-4ddb-8bef-27edb0ca3299,,3.39,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:52:20.104331+00,,d293575a-98b3-4287-b308-01a4f6299080
373c9748-66e3-462e-82f9-b85329e24ffa,1dfaae36-6f96-4ef2-9453-433346bb8a59,,109.24,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:09.303462+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
385a851b-4350-4476-b185-ffa3cb08288e,91bc4ec6-48a7-4b34-82cf-1e938d5ff8c0,,86.79,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:24.915755+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
38d31a8c-f058-431d-b6b0-5fe2a159b603,7760a619-8bef-4df4-8e15-6a4cd0244617,,64.79,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:31.315718+00,,d293575a-98b3-4287-b308-01a4f6299080
39174f67-13fb-443f-84b2-897787530fd1,a7b8e697-d967-4e0c-842e-9d2660110c77,,44.07,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:48.885292+00,,d293575a-98b3-4287-b308-01a4f6299080
397d5baf-c268-4fdd-8f5e-f92180c99848,4f9ed648-e3eb-4177-8c98-8601b579d702,,4.52,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:30.917913+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
3ad0582f-3e58-45e3-8f1f-2a1d87213cf2,404504e3-33a5-4eba-aaeb-08d6a6f178b8,,17.52,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:39.217809+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
3c2a0ccf-2163-4e42-ba7e-3b5427928652,cdb934d5-eabc-43f0-8fd4-3eb7866c481e,,59.57,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:52:13.074224+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
3d4d8487-3d26-4be8-9844-71f2b4d90b08,ab5ed0b3-7f59-46af-b5fd-38f73014b930,,9.56,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:52:11.784285+00,,d293575a-98b3-4287-b308-01a4f6299080
3d5342a3-d328-4c3b-a4d4-b9e308fd6c17,6ea2b0b1-3e74-4e04-b5db-0fb977eb926c,,4.86,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:54.044055+00,,d293575a-98b3-4287-b308-01a4f6299080
3e68019d-5b8b-4f33-8ebe-284b5ae990d2,dda6d19c-f83f-477a-8784-7c25231c7d32,,50.85,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:48.538559+00,,d293575a-98b3-4287-b308-01a4f6299080
3f446cd9-72c4-464d-8953-f9720a497275,18b1d0c7-20e4-47fa-8f4d-e75ceba6faf0,,52.74,100.00,,306a669c-6bd9-4b68-b7a1-7598dc3e5785,2025-12-03 20:52:32.818655+00,household items,d293575a-98b3-4287-b308-01a4f6299080
409950a5-4047-4fe0-8d7d-4ff85f00e95b,b89ce5ca-c0af-452b-a745-188bbcc98877,,14.17,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:57.149432+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
4406ce8b-e3e6-4976-9a77-c4bc24afb861,08105421-0d16-4ae6-8f5d-2865c57b3adc,,4.52,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:56.325364+00,,d293575a-98b3-4287-b308-01a4f6299080
4452a061-25e8-48ea-bf21-a92050907aaa,78cd55df-d3ce-449d-861b-10aeed0fcde2,,14.40,100.00,,306a669c-6bd9-4b68-b7a1-7598dc3e5785,2025-12-03 20:52:07.484962+00,household items,d293575a-98b3-4287-b308-01a4f6299080
459d5333-9118-41f9-a47c-a923734bbdab,0860d084-a40e-45b7-a508-24282625f196,,2.09,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:03.495444+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
47224212-f9f0-45c4-acd1-173b6183b63c,8eb88822-01ea-4493-8752-f276ff140e23,,7.21,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:59.901729+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
473c857d-3667-4cb0-ac28-5f9ba99977d5,4d9a2485-ab6a-4121-99e9-30056ff0fec3,,13.02,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:41.401865+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
47ffd486-08ed-463a-9942-c29e4f1dbdea,a7b8e697-d967-4e0c-842e-9d2660110c77,,14.69,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:51:49.174462+00,,d293575a-98b3-4287-b308-01a4f6299080
49a42018-e054-4f07-b274-8d181757823c,7af2d100-111f-4c25-b707-79ff45469947,,7.30,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:52:29.850157+00,,d293575a-98b3-4287-b308-01a4f6299080
4a3ef1ec-ff2b-449d-b648-e85408da8b56,c6b01319-15ca-40da-92d8-86477cf964d4,,2.94,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:36.025968+00,,d293575a-98b3-4287-b308-01a4f6299080
4c1b5932-6d81-4783-a513-7cfd3c088475,9c04ee45-05a5-4a36-8d8b-c1d4e3ec3c8d,,39.55,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:51:37.52572+00,,d293575a-98b3-4287-b308-01a4f6299080
4cb8a83d-7451-4e68-87c4-b728d8f5faf0,6758d272-ad6a-4486-b01b-f9f31fc0d1a1,,35.94,80.00,,9f166818-76ea-4b10-9af7-8a75c5353acb,2025-12-03 20:51:59.03314+00,Groceries,d293575a-98b3-4287-b308-01a4f6299080
4d4b5fa2-6f50-4754-96f2-49e4c6d78eca,46406285-f46e-4011-8fd5-e690bedb3139,,21.60,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:51:35.03243+00,,d293575a-98b3-4287-b308-01a4f6299080
4d4e134f-31ca-4741-915d-9d41093c0558,241b15bf-df2c-46ec-9651-f555cb8a95e2,,6.10,10.00,,5d9596b8-b071-4a2c-b578-76192a3c290e,2025-12-03 20:51:53.265803+00,,d293575a-98b3-4287-b308-01a4f6299080
4dd8ab4f-7d47-419b-a41a-c7a826cf0f55,1cda1154-0801-4ca4-99ed-ff4f04869028,,7.51,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:39.742594+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
4e718349-d296-4bb5-a676-a8cb2393c8a3,ced4bedd-8b01-4d7b-b0ec-c9a3e15bb0af,,21.68,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:52:34.402628+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
4ecd48d1-1494-4ceb-a9d4-a3ae8a624cf4,dd16391f-a9c7-4f9e-a6db-53270eee5552,,2.83,20.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:43.444276+00,Household Groceries,d293575a-98b3-4287-b308-01a4f6299080
4fc9aa89-8966-4883-b1ed-f323b696eb76,46406285-f46e-4011-8fd5-e690bedb3139,,64.79,30.00,,7a44a6dc-687c-4bc2-8685-d69249f79c72,2025-12-03 20:51:34.736696+00,,d293575a-98b3-4287-b308-01a4f6299080
4fdf8ccc-9a5c-4b77-8d47-f705aae88cd8,5bd13aaa-f456-4c25-802e-435b054ac436,,14.69,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:52:18.576192+00,,d293575a-98b3-4287-b308-01a4f6299080
506df8a2-2b3c-48d9-89af-98d50ff1009f,66241476-fb8a-4a67-9cea-e31cffae74d4,,12.43,10.00,,d8bc9a20-9f03-4cc8-8d33-3a12bcd04362,2025-12-03 20:52:23.540818+00,,d293575a-98b3-4287-b308-01a4f6299080
